Serial No,ratings,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,category,product type,brand,main_cat,price,Human Sentiment Score,Review Type,Sentiment_Score,Sentiment_Magnitude,Google_API_Score,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,roberta_compound
2503,4,,True,"08 20, 2016",A1Y78HV0EBMMYD,B002MPLYEW,Amazon Customer,"Overall I""ve been very pleased with this refrigerator. It looks great and has been very useful. The only reason I didn't give it 5 stars is because the door doesn't close and seal as well as I would like. I have to shut the door slowly to make sure that it is actually closed. There are not very good adjustment knobs on the bottom front, so I've had to prop it up to get a slight backward tilt to help it stay shut. I also wish it would stay just a tad colder. Overall, I would recommend this product.",Almost 5 Star,1471651200,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.7,Positive,0.2,5.0,0.04,0.024,0.744,0.232,0.9668,0.07982215285301208,0.19285187125205994,0.7273260354995728,0.6475040018558502
2508,2,3.0,True,"07 15, 2016",A1H53QOA5UD9L6,B002MPLYEW,Justin L. Decouto,"Update: 08/01/16 I ended up returning the original unit and had another sent out to me, but the same problem occurred. This would not reached the stated 43 degrees in the specs. I'm not sure what you would use this ""cooler"" for, but it does not cut it for making drinks cold. I am returning the second unit. I would have liked to try another manufacturer on Amazon, but there simply was not another comparable product to try in the price range. 2 stars now for looks and the locking feature.

Does not get cold enough for me. Saw another review that stated they have it set to 36F, not sure how that's possible when the manufacturers sated range is from 43-57f. I have a digital  thermometer inside the fridge and my range goes from 47-50 at the lowest temperature setting on the dial. I like my beverages cold, and beer snobs aside, it just doesn't cut it getting cold enough.",Doesn't get cold enough.,1468540800,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,-0.8,Negative,-0.4,4.9,-0.08,0.094,0.819,0.087,-0.3156,0.7896506190299988,0.18570710718631744,0.0246422216296196,-0.7650085017085075
2511,1,3.0,True,"07 8, 2016",A2WNS3TX5V28UL,B002MPLYEW,Ana,"No manual received,  fridge has led light that doesn't work at all. The customer service with Danby is horrible. Better to purchase in store for easy return in case it's damaged. Target sells this fridge. It's a very nice looking piece, better with working light.",Led light doesn't work,1467936000,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,-0.8,Negative,-0.1,2.8,-0.04,0.15,0.645,0.205,0.4927,0.5549545288085938,0.2986801862716675,0.14636534452438354,-0.40858906507492065
2512,3,,True,"07 2, 2016",APBBQ28G6KDRI,B002MPLYEW,Daniel Horton,"The fridge works well for cooking drinks, etc but the shipping damaged the mechanism that triggers the light. The door is also loose and easily is left open. Not sure if this is just the fridge or if it was also from the shipping. I am disappointed and should have returned when I realized it was damaged but just couldn't find the time.",poor shipping! Damaged product,1467417600,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,-0.8,Negative,-0.6,2.4,-0.24,0.227,0.712,0.061,-0.9273,0.8556237816810608,0.12493760138750076,0.01943860575556755,-0.836185198277235
2515,2,,True,"05 18, 2016",A3SGZ49HXRCSXX,B002MPLYEW,LG123,"We just took refrigerator out of box, and the light doesn't work and its loud.",Would shop around,1463529600,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,-0.8,Negative,-0.8,0.8,-0.76,0.0,1.0,0.0,0.0,0.9297540187835693,0.064555324614048,0.005690669175237417,-0.9240633244626224
2526,5,,True,"02 1, 2016",A2X9UNRUXX40O3,B002MPLYEW,MAMAMCD,holds so much!,Five Stars,1454284800,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.5,Positive,0.9,0.9,0.76,0.0,1.0,0.0,0.0,0.017067188397049904,0.22346776723861694,0.7594650387763977,0.7423978392034769
2538,5,,True,"09 22, 2015",A2418I3K0E9S7Q,B002MPLYEW,Jacqueline Naito,Husband loves the fridge. Great price!!!,Great price!,1442880000,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.7,Positive,0.9,1.9,0.44,0.0,0.316,0.684,0.865,0.001881119911558926,0.008930560201406479,0.9891883730888367,0.9873073595808819
2541,5,,True,"09 14, 2015",A3JVB3JHT4CSS,B002MPLYEW,RV,"Works great so far, looks real good",Five Stars,1442188800,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.7,Positive,0.9,0.9,0.76,0.0,0.417,0.583,0.7906,0.0014668300282210112,0.009630226530134678,0.9889029860496521,0.9874362412374467
2555,5,,True,"05 9, 2015",A3TLRYQU2FTSKH,B002MPLYEW,Alex G.,Exactly as described!,Five Stars,1431129600,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.7,Positive,0.9,0.9,0.76,0.0,1.0,0.0,0.0,0.09338261932134628,0.4842873811721802,0.42232996225357056,0.3289472684264183
2561,4,,True,"04 12, 2015",A1GPZGRPV0JPH5,B002MPLYEW,Sean Reifschneider,"It looks good, seems to work fine.  I ended up taking out a shelf because I want to store beer bottles, ended up working fine for box wine at the top, a bunch of beer bottles in the middle, and some sodas in the small bottom area.  I kind of duck a bomber or two by the box wines, not enough space for them to stand anywhere.  I also got a thermometer, a dial style, that i ended up mounting to the glass with some Sugru.  This keeps it out of the way of the bottles, and allows for fine temperature control.

However, the shelves don't do a great job holding the bottles upright.  I will probably get or make some sort of organizer.","Good looking, seems to work well.",1428796800,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.6,Positive,0.1,3.3,0.03,0.028,0.877,0.095,0.6256,0.05331718549132347,0.32476097345352173,0.6219218373298645,0.5686046443879604
2574,1,,True,"12 8, 2014",A313CEXGJDC41V,B002MPLYEW,Lisa V.,We bought this for our President's office.  It hummed and vibrated so loudly you could hear it all the way down the hallway.  Definitely going back.,We bought this for our President's office. It hummed ...,1417996800,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,-0.9,Negative,0.0,1.5,0.0,0.0,0.903,0.097,0.4019,0.0018222145736217499,0.04837232083082199,0.949805498123169,0.9479833506047726
2577,5,,True,"11 21, 2014",A2QCRJKRFAAXKP,B002MPLYEW,Jason M. Jones,"love it, now my beer doesn't take up all my main fridge!",Five Stars,1416528000,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.6,Positive,0.9,0.9,0.76,0.0,0.71,0.29,0.6696,0.021548757329583168,0.08606085181236267,0.8923903703689575,0.8708415720611811
2583,3,,True,"09 18, 2014",ATHR15LBR4MRB,B002MPLYEW,steven,"The fridge itself works just fine.  The main issue (and only issue) is the shelves.  The distance between the rails is too wide which causes cans of soda to tilt to one side.  Another reviewer has posted a good photo showing this issue.  I strongly recommend you look at those photos to see the issue before buying.  That aside, the fridge does work well without issues, but the shelves suck.",The fridge itself works just fine. The main issue (and only issue) is the ...,1410998400,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.5,Positive,-0.3,2.4,-0.12,0.052,0.837,0.111,0.09,0.22406446933746338,0.3527991771697998,0.4231363534927368,0.19907188415527344
2590,3,,True,"06 23, 2014",A3FRUPHOTK8ZJK,B002MPLYEW,Jacki36243,It works but doesn't keep beers super cold - also a little noisy.  The door gets condensation inside - not sure if that means that its not sealing properly.,It works but.......,1403481600,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,-0.6,Negative,-0.5,1.0,-0.46,0.265,0.735,0.0,-0.8059,0.709039032459259,0.2625913619995117,0.02836964838206768,-0.6806692983955145
2596,5,45.0,True,"04 25, 2014",ABK84EIHK0WNC,B002MPLYEW,BRUTUS,"Its like a kitchen cabinet for beer. Not soda - just beer. The advertised picture shows Diet Cokes, Pepsi and Red Bull..... Well I hide that junk in the big fridge with stainless doors so it can't be seen.  The beers however I proudly display in the Danby DBC120BLS BEVERAGE CENTER. So sexy! Every time I wander into the kitchen BAM there's cold beers staring at me through the glass like a puppy in a pet store. (puppies only cats are like sodas keep them behind the stainless). Cats suck.....kittens too.

A little tip for you inexperienced  folks, start your beer drinking from the bottom shelf. It will be easier to grab from the higher shelves as the beers side effects kick in.

Another tip: (This is only necessary if beer is stocked)... get some of those stickers that old people put on glass doors to keep them from walking face first into it.  Some friends and folk that stop by for a cold one will freak the ?%** out when they see this Danby DBC120BLS BEVERAGE CENTER stocked with some of daddy's sweet sauce in a can, they may damage their wrist,  or possibly their face reaching for a can. I suggest stickers of the dragonfly because dragonflies are badass. NOT as badass as puppies but badass nonetheless.

Last tip: Buy this fridge. I got this machine on sale for 199. free shipping. I researched it one week and the next week the clever individuals at Amazon sent me an email showing it on sale. Clever bastards.

Cheers !!",ooo lala,1398384000,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.6,Positive,0.0,10.1,0.0,0.061,0.801,0.138,0.9653,0.3846110701560974,0.3641285002231598,0.2512604892253876,-0.1333504617214203
2598,4,,True,"04 1, 2014",A3W0Q969TYLALB,B002MPLYEW,Joel A. Soukup,"Ive been running the Beverage Center for about a week now and have no significant complaints.  Its quiet, nice looking, and can chill at least 3 cases of beer down to the mid-30s (F).  The door lock is especially nice for me as a father of teenagers.  Im running it on a counter top and haven't noticed any water on or around the unit yet.

My only (minor) gripe is that the wire spacing on the shelves could be a little closer; sometimes cans will not stand straight if positioned too far to the left or right of a wire.  This is resolved easily enough by just using a piece of cardboard as a shelf liner.",So far so good,1396310400,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.7,Positive,0.4,3.9,0.1,0.055,0.833,0.112,0.6941,0.02716747857630253,0.141331285238266,0.8315012454986572,0.8043337855488062
2601,2,2.0,True,"03 6, 2014",A2XJH8F2REQGB2,B002MPLYEW,Alan The Tinkerer,"The fridge came well packed but overall it just looks cheap.
Yes it has an internal fan that circulates the air but in my case the thermostat does nothing, all the way on one end the fridge shuts off, anywhere else it's 50 deg F. Glad i bought the service plan.
I replaced the internal bulb with an LED one (the feit candelabra ones work) but i had to remove the transparent cover and trim a little bit of the bulb enclosure at the opposite end from the socket. Looks much nicer now.

One more thing about this fridge is that the condenser on it si built into the sides, not in the rear. So don't mount this flush on the sides with furniture or other appliances because it won't be able to do it's job.

Overall it does work but i feel like i could have done better looking locally.",Pretty bad deal i think,1394064000,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,-0.7,Negative,-0.2,3.6,-0.06,0.0,0.857,0.143,0.9719,0.09423992782831192,0.29157012701034546,0.6141899824142456,0.5199501290917397
2609,5,,True,"12 16, 2013",A2I5RY58OT38DP,B002MPLYEW,NavNrse,Bought in June2013 and love it. It keeps drinks cold and we haven't had a problem from it at all.  It isn't loud either.  Love that I can lock it to keep the kids out. of it.,Wonderful,1387152000,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.6,Positive,0.4,3.6,0.11,0.081,0.765,0.154,0.4749,0.009741057641804218,0.034643348306417465,0.9556156396865845,0.9458746733143926
2613,3,,True,"11 1, 2013",A1MOCH93UQE67W,B002MPLYEW,Baileys,"Nice, but doesn't really get that cold and kind of loud. Buy something else if you want you beverages really cold and its in a part of the house the noise is a concern...",Dosent Get that cold,1383264000,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.5,Positive,-0.5,1.0,-0.46,0.0,0.9,0.1,0.3291,0.44303232431411743,0.4438142776489258,0.11315344274044037,-0.3298787921667099
2614,4,,True,"10 11, 2013",ALNOCY31SI8FR,B002MPLYEW,Sky Candy Austin,"Its definitely not a floor fridge, you need a good sturdy base to put it on, but other then that it is spacious and works really well.",Nice,1381449600,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.7,Positive,0.7,0.7,0.76,0.0,0.762,0.238,0.7086,0.01024667639285326,0.09869755804538727,0.891055703163147,0.8808089019730687
2615,5,,True,"10 2, 2013",AT57NKBB9DV02,B002MPLYEW,Brady Chapman,"No complaints at all, works as I thought it would. Just make sure the door is closed when you leave, it you shut it hard the door can bounce back open.",Compliments my man cave!,1380672000,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,0.7,Positive,0.3,1.0,0.29,0.216,0.718,0.066,-0.4939,0.020968127995729446,0.3013966679573059,0.6776351928710938,0.6566670425236225
2627,3,3.0,True,"08 14, 2012",A2OO9CBMYNIX63,B002MPLYEW,ReevesRacing,"Ok, so I bought this unit at a GREAT price on Amazon.com.  I guess it must have been on sale, but I didn't notice until a few days after I ordered how good of a price I really got.

I was kind of afraid to order, as there are a lot of reviews on here that says they had shipping damage.  Well, I decided to go for it, and guess what.....I too had shipping damage.  The top left corner of the door and the unit was bashed in.  The unit damage I didn't care too much about, as it is under my bar and you can't see it, but the door was a huge eye sore.

I called Amazon about this, and recieved great customer service.  They gave me the number to Danby and said if there is anything owed, just to let them (Amazon) know and they would cover any costs.

I called Danby, and called Danby, and called Danby, and left messages.  The phone was always busy, or it was after hours.  Finally I left another message and a guy called me back.  This took about 4 days of calling.  Anyway, at first they said that they do not ship parts or doors to consumers, but then he talked to his manager, and agreed to ship a new door to me.

Door arrived pretty promptly, so thanks to Danby for that.  It also did not have the Danby sticker or the warning stickers on it....so thanks for that as well....it looks better!  Door was easy to install, and they didn't ask for the old door back.  Cool.

Now my only other issue with it, is it seems to run constantly.  At first I had it turned to MAX, and it was cold enough, but ran all the time, I tried a medium setting, and now it's just barely cold enough, but still seems to run all the time.  Is this normal?

Also, the sides stay very warm.

It is a good looking unit.","Still not sure, plus shipping damage that WAS corrected",1344902400,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Beverage Refrigerators']",Beverage Refrigerators,Danby,Appliances,23.78,-0.7,Negative,0.0,12.0,0.0,0.061,0.78,0.158,0.9869,0.15076221525669098,0.3308420479297638,0.5183957815170288,0.367633655667305
2634,5,,True,"02 24, 2017",AM4PW9GFRDGX1,B002YTXMT6,David Buskirk,Exactly as expected.,Five Stars,1487894400,"['Appliances', 'Parts & Accessories', 'Refrigerator Parts & Accessories', 'Motors']",Refrigerator Motors,Samsung,Tools & Home Improvement,19.62,0.8,Positive,0.6,0.6,0.76,0.0,1.0,0.0,0.0,0.19815360009670258,0.7103103399276733,0.09153606742620468,-0.1066175177693367
2637,5,,True,"08 17, 2015",AGIXCXLR1P5M0,B002YTXMT6,Julio Macias,Great it is exactly the product that need and the delivery time was excellent,Five Stars,1439769600,"['Appliances', 'Parts & Accessories', 'Refrigerator Parts & Accessories', 'Motors']",Refrigerator Motors,Samsung,Tools & Home Improvement,19.62,0.6,Positive,0.9,0.9,0.76,0.0,0.606,0.394,0.8316,0.004078797996044159,0.023807471618056297,0.9721137881278992,0.9680351056158543
2638,5,,True,"01 5, 2015",ANE1KC5EHQIBN,B002ZD6OAA,consumer,fits perfect & good price.,Five Stars,1420416000,"['Appliances', 'Parts & Accessories', 'Range Hood Parts & Accessories', 'Filters']",Range Filters,Broan,Tools & Home Improvement,12.5,0.8,Positive,0.9,0.9,0.76,0.0,0.233,0.767,0.765,0.01164634246379137,0.13495482504367828,0.8533987998962402,0.8417523922398686
2643,5,,True,"01 3, 2014",A3V79SK66MHEIK,B0031XI5LY,Evelyn Jacobs,Just what I needed for my RV.  I was able to add much needed storage space for my refrigerator and at a great price.,Perfect Fit,1388707200,"['Appliances', 'Parts & Accessories', 'Refrigerator Parts & Accessories', 'Shelves']",Refrigerator Shelves,Norcold Inc. Refrigerators,Tools & Home Improvement,15.49,0.8,Positive,0.9,1.8,0.46,0.0,0.83,0.17,0.6249,0.001889218227006495,0.03286351263523102,0.9652472734451294,0.9633580638328567
2644,3,,True,"02 6, 2017",A2TCVBT63ORWVM,B0034IVA04,Allen Bergstrom,"Great knob, just not for my stove. This does not fit the D shaped shaft with the spring clip inside. Not worth the trouble to return it.",Verify model of stove,1486339200,"['Appliances', 'Parts & Accessories', 'Range Parts & Accessories', 'Knobs']",Range Knobs,Whirlpool,Tools & Home Improvement,17.99,-0.3,Negative,-0.5,1.7,-0.29,0.118,0.685,0.198,0.5547,0.8975256085395813,0.0910927951335907,0.01138159167021513,-0.8861440261825919
2645,5,,True,"01 17, 2017",A3LYLWQRAR5QIY,B0034IVA04,Janice Detlefson,Just like the original,Five Stars,1484611200,"['Appliances', 'Parts & Accessories', 'Range Parts & Accessories', 'Knobs']",Range Knobs,Whirlpool,Tools & Home Improvement,17.99,0.7,Positive,0.9,0.9,0.76,0.0,0.294,0.706,0.5859,0.1385824978351593,0.7590709328651428,0.10234660655260086,-0.03623581677675247
2655,5,,True,"07 11, 2017",A343FN8QXZZ8I7,B0036BX2YG,Greg M.,"Nice Kit for sure, now I need a fancy Tap handle!!!!",It's all good Man.,1499731200,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Kegerators']",Kegerators,Kegco,Amazon Home,190.97,0.6,Positive,0.8,0.8,0.76,0.0,0.528,0.472,0.7405,0.005304546561092138,0.076380155980587,0.9183152914047241,0.9130107327364385
2660,5,,True,"12 21, 2016",A1WSJLBSHOBDFC,B0036BX2YG,Fred,"Amazing! I bought 2 of these for a ""Beer Bar"" at our wedding, I made a bar to fit 4 kegs and these things worked beautifully. I'm sure would work just as well in a fridge conversion with 2 kegs.","Amazing! I bought 2 of these for a ""Beer ...",1482278400,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Kegerators']",Kegerators,Kegco,Amazon Home,190.97,0.7,Positive,0.6,2.1,0.28,0.0,0.648,0.352,0.9286,0.0013204158749431372,0.01857306994497776,0.9801064729690552,0.9787859746720642
2662,4,,True,"08 3, 2016",A1DM7671XOKYDU,B0036BX2YG,D.K.,Does what it's supposed to. The regulator feels cheap and the plastic covers over the gauges fall of if you touch them wrong but it seems to be working. The tank looks great. Everything else seems solid.,The tank looks great. Everything else seems solid,1470182400,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Kegerators']",Kegerators,Kegco,Amazon Home,190.97,0.6,Positive,0.4,3.1,0.13,0.047,0.78,0.173,0.7579,0.024276861920952797,0.11967060714960098,0.856052577495575,0.8317758087068796
2665,4,,True,"03 14, 2016",A1IDGSRDOGXBEM,B0036BX2YG,Jay C.,"Great product. I would suggest you get some tap covers so the taps don't get sticky, from day to day.",Good buy.,1457913600,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Kegerators']",Kegerators,Kegco,Amazon Home,190.97,0.7,Positive,0.4,0.9,0.42,0.0,0.814,0.186,0.6249,0.017224857583642006,0.13437823951244354,0.8483969569206238,0.8311722073704004
2668,5,,True,"05 3, 2017",A2AKWWR1PZ7UQT,B0036BYSR6,T. Figueroa,Great product. The components are sturdy and well built. We've run many gallons of beer through these taps and we're very happy with them.,Excellent Product,1493769600,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Kegerators']",Kegerators,Kegco,Amazon Home,202,0.8,Positive,0.9,2.9,0.3,0.0,0.673,0.327,0.8805,0.0011744876392185688,0.011841491796076298,0.9869840145111084,0.9858095147646964
2669,5,,True,"03 6, 2017",AP2A6NNBSWAQX,B0036BYSR6,KC,Bought this for my husband for a Christmas gift.  we did have to go to Home depot and purchase a different mini  fridge.  our original mini fridge wouldn't work with his mini kegs they had a taller one that worked better.  Hook up was easy I recommend purchasing the drip tray to go with it.,for the beer lover!,1488758400,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Kegerators']",Kegerators,Kegco,Amazon Home,202,0.8,Positive,0.2,1.6,0.12,0.0,0.773,0.227,0.91,0.021049920469522476,0.15581516921520233,0.8231348991394043,0.80208495631814
2682,5,6.0,True,"10 30, 2013",A2KNM6I3RLRQ3N,B0036BYSR6,Ringo127,"I had an older single tap Summit SBC-500 kegerator given to me and the tap was leaky and the finish was pitted.  This was a nice upgrade and fit perfectly. Now I can have two tall 5 gallon kegs and serve both hard cider and beer. I love the press-on line clamps.

When I got the package there was a part missing, but a quick call to support and they had a replacement sent to me right away.",Nice upgrade for my old single tap.,1383091200,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Kegerators']",Kegerators,Kegco,Amazon Home,202,0.8,Positive,0.5,4.3,0.12,0.036,0.803,0.161,0.8625,0.02795889787375927,0.0929093211889267,0.8791317939758301,0.8511729221791029
2688,5,,True,"09 23, 2014",A3J8YSCUR44N9X,B0036BX2YG,Stephen Toscano,"works great, great price, easy to install.",Five Stars,1411430400,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Kegerators']",Kegerators,Kegco,Amazon Home,190.97,0.8,Positive,0.9,0.9,0.76,0.0,0.265,0.735,0.9022,0.005508303176611662,0.03513248264789581,0.9593591690063477,0.9538507754914463
2695,5,,True,"02 27, 2013",A2DUSVSUTP9QYL,B0036BX2YG,David Salazar,"Thank you very much for your attention, are excellent in sales by selling good quality products and original at 100 am",congratulations,1361923200,"['Appliances', 'Refrigerators, Freezers & Ice Makers', 'Kegerators']",Kegerators,Kegco,Amazon Home,190.97,0.5,Positive,0.9,0.9,0.76,0.0,0.599,0.401,0.886,0.0013698776019737124,0.011779856868088245,0.9868502616882324,0.9854803764028475
2702,4,,True,"04 27, 2017",A1O37YGJ63R3PX,B003B4M0XW,Amazon Customer,They do the job they were indented to do.,Replacement Filters,1493251200,"['Appliances', 'Parts & Accessories', 'Humidifier Parts & Accessories', 'Replacement Wicks']",Replacement Wicks,BestAir,Amazon Home,10.66,0.7,Positive,0.7,0.7,0.76,0.0,1.0,0.0,0.0,0.12184382975101471,0.742739737033844,0.13541637361049652,0.01357242465019226
2705,1,,True,"02 8, 2016",A3P8C4CBNLFPFE,B003B4M0XW,Amazon Customer,Tried to save a few bucks.  Not worth it. Humidity went down.,One Star,1454889600,"['Appliances', 'Parts & Accessories', 'Humidifier Parts & Accessories', 'Replacement Wicks']",Replacement Wicks,BestAir,Amazon Home,10.66,-0.5,Negative,-0.5,1.6,-0.3,0.12,0.649,0.231,0.3682,0.7899388670921326,0.18650603294372559,0.023555133491754532,-0.7663836665451527
2707,5,,True,"11 23, 2015",A5QKF2BU8RFUK,B003B4M0XW,RKH,Ordered the BestAir wick to replace the original wick. The BestAir fit perfect. Ready for winter...,Perfect fit,1448236800,"['Appliances', 'Parts & Accessories', 'Humidifier Parts & Accessories', 'Replacement Wicks']",Replacement Wicks,BestAir,Amazon Home,10.66,0.8,Positive,0.5,1.8,0.27,0.0,0.522,0.478,0.875,0.002023159759119153,0.07623215019702911,0.921744704246521,0.9197215728927404
2714,5,,True,"07 15, 2013",AHOS92SYS3NGB,B003B4M0XW,Alice Cannon,Fine --no problems--best price. 16 additional word requirement makes no sense--I have nothing more to say. What a waste of words.,This is the filter I ordered!,1373846400,"['Appliances', 'Parts & Accessories', 'Humidifier Parts & Accessories', 'Replacement Wicks']",Replacement Wicks,BestAir,Amazon Home,10.66,0.8,Positive,-0.2,2.4,-0.08,0.21,0.714,0.076,-0.4939,0.7244641184806824,0.22140489518642426,0.05413093790411949,-0.6703332774341106
2720,5,,True,"06 2, 2016",A1TSDH4HSYZYH1,B003B6KL0O,Amazon Customer,"Good quality hose, just what I needed to install my dishwasher.",nice hose,1464825600,"['Appliances', 'Parts & Accessories', 'Dishwasher Parts & Accessories', 'Hoses']",Dishwasher Hoses,LASCO,Tools & Home Improvement,10.99,0.8,Positive,0.9,0.9,0.76,0.0,0.756,0.244,0.4404,0.01062028668820858,0.16839322447776794,0.8209865093231201,0.8103662636131048
2733,5,2.0,True,"08 7, 2016",A2BYZYIIVUOG5,B003BIGDKO,DaveT,"Turned a potential fridge replacement scare into a $35 job, that being said most units you'll need to know how to cut and splice wire. This motor and wiring harness assume you don't have an internal freezer light, assuming you do you'll have to splice the wire into the original wiring harness.","Excellent fix, advise knowing how to splice wiring before you attempt to replace this part.",1470528000,"['Appliances', 'Parts & Accessories', 'Refrigerator Parts & Accessories', 'Motors']",Refrigerator Motors,GE,Tools & Home Improvement,51.38,0.6,Positive,-0.3,0.7,-0.4,0.097,0.861,0.042,-0.4588,0.4748396575450897,0.478294312953949,0.0468660406768322,-0.42797359451651573
2737,5,,True,"06 11, 2015",A1V0BU3D8117RD,B003BIGDKO,Aaron Asbury,cold water again,Five Stars,1433980800,"['Appliances', 'Parts & Accessories', 'Refrigerator Parts & Accessories', 'Motors']",Refrigerator Motors,GE,Tools & Home Improvement,51.38,0.5,Positive,0.0,0.0,,0.0,1.0,0.0,0.0,0.4422323405742645,0.5186031460762024,0.03916449472308159,-0.4030678831040859
2738,2,,True,"03 31, 2015",A3BFNVLK9NCDGD,B003BIGDKO,Amazon Customer,"The fan motor works. its easy to hook up. (required me to cut the wire and splice in the new motor.  The problem is that I was having an issue with the old motor making too much noise.  the new motor is actually louder than the old busted one.  this is the factory part though, so not sure what the issue is there.  I also replaced the main control board at the same time.",its easy to hook up,1427760000,"['Appliances', 'Parts & Accessories', 'Refrigerator Parts & Accessories', 'Motors']",Refrigerator Motors,GE,Tools & Home Improvement,51.38,-0.7,Negative,0.0,3.3,0.0,0.089,0.846,0.066,-0.212,0.31450867652893066,0.47401145100593567,0.21147985756397247,-0.10302884876728058
2739,5,,True,"11 12, 2014",A3ENIU3WLLG5JH,B003BIGDKO,washingtonbc,"Exact replacement.  It took about an hour to replace from start to finish.  That included empting the freezer, installing, and clean up.  Go to youtube for some videos on how to do it.",Exact replacement. It took about an hour to replace ...,1415750400,"['Appliances', 'Parts & Accessories', 'Refrigerator Parts & Accessories', 'Motors']",Refrigerator Motors,GE,Tools & Home Improvement,51.38,0.6,Positive,0.1,1.5,0.07,0.0,0.922,0.078,0.4019,0.3037872612476349,0.5575590133666992,0.1386536955833435,-0.16513362526893616
2746,5,,True,"10 31, 2015",A11IOXWLOWRGNT,B003BIGDEU,Reginald E. Kelley,OUR OVEN WORKS LIKE NEW!!! THANKS!!!,GREAT REPLACEMENT!!!,1446249600,"['Appliances', 'Parts & Accessories', 'Oven Parts & Accessories']",Oven Parts,GE,Tools & Home Improvement,28.03,0.8,Positive,0.9,1.8,0.46,0.0,0.379,0.621,0.7627,0.002329262439161539,0.02230899967253208,0.975361704826355,0.9730323762632906
2750,5,,True,"10 23, 2014",AUEKPBPKY0SI4,B003BIGDEU,Roger McCuistian,"Good price,and works great.","Good price, and works great",1414022400,"['Appliances', 'Parts & Accessories', 'Oven Parts & Accessories']",Oven Parts,GE,Tools & Home Improvement,28.03,0.8,Positive,0.9,0.9,0.76,0.0,0.222,0.778,0.7906,0.0051125818863511086,0.05207289382815361,0.9428144693374634,0.9377017775550485
